gene,baseMean_monocytes,log2FoldChange_monocytes,lfcSE_monocytes,stat_monocytes,pvalue_monocytes,padj_monocytes,baseMean_moDCs,log2FoldChange_moDCs,lfcSE_moDCs,stat_moDCs,pvalue_moDCs,padj_moDCs,same_direction,significant_both,geo_mean_padj,direction
AOC2,2.6565366428621178,0.23522230174127165,1.1628594744984124,0.20227921507259713,0.8396984480779803,,5.7506067712426105,0.4151668453604228,0.6953990537255296,0.5970195719079695,0.5504943135602681,,True,False,1.0,up
AP000254.8,30.445057679081497,0.11022635326481386,0.35905230990813264,0.30699246383630413,0.7588491084296499,,5.053569635655549,-0.2009084079875594,0.6864464165823805,-0.29267893769163317,0.7697675705507648,,False,False,1.0,up
AP000279.69,40.00623784359486,0.004727860309718691,0.3131314377585434,0.01509864465721375,0.9879534822462752,,46.84725508172021,-0.14923240643810734,0.3609266886512173,-0.41347013432503066,0.679262199372865,0.953007466132208,False,False,0.9762210129536283,up
AP000295.7,40.78477669349055,0.02619609626752284,0.30648962466788066,0.08547139661223294,0.9318866344362813,,67.19797900308365,-0.6925170132895088,0.4377578331769124,-1.5819637269851883,0.11365785136915475,0.6122002769232345,False,False,0.7824322826438301,up
AP000295.9,1019.0939183896616,0.4256851184330271,0.11364542502551332,3.745730356831004,0.00017986970992557032,0.007053462196367008,338.54253447490305,-0.09000455614527604,0.2121971282865224,-0.42415539207366665,0.6714524906310708,0.951541061412682,False,False,0.08192471486044545,up
AP000347.2,59.34179963199123,0.10361533166388226,0.27462150585085104,0.37730232139997266,0.7059489472303327,,52.90678985346774,-0.3135682945253994,0.42901857820014067,-0.7308967733772994,0.4648422070107243,0.8951922407791132,False,False,0.9461459933747609,up
AP000347.4,1.7933864078750554,-0.9790370492206855,1.7324174657911644,-0.5651276719110983,0.5719869279564341,,5.586394899622429,0.23797883855518456,0.8742672377200563,0.27220377052649697,0.7854653428060743,,False,False,1.0,down
AP000350.5,29.619289661528512,0.059082056334781925,0.4255241717652507,0.13884535886571392,0.8895723499051088,,13.590868912823332,0.23892350818082217,0.6171766991435644,0.3871233449227237,0.6986648957020747,0.9564348205973083,True,False,0.9779748568328883,up
AP000476.1,140.69569355294513,0.14142768703476702,0.17764492196284803,0.7961256954158512,0.4259589804274757,0.5727221094146686,2.4338025644228427,-0.2988046022985145,1.0449133720143773,-0.2859611239566022,0.7749078973075935,,False,False,0.756784057320626,up
AP000569.9,5.631994383208916,-0.771685139226863,0.8370269115509228,-0.9219358763471674,0.3565620242492986,,7.960993463498227,-2.4869570570814736,1.34059484266154,-1.8551145938649234,0.06357986420814031,,True,False,1.0,down
AP000609.2,4.471862080932586,-1.593751068348967,0.9648386756355312,-1.6518316570375629,0.09856887327645286,,6.7742563193395835,0.06524075138882166,0.6107439023553689,0.10682178100709144,0.9149303675979275,,False,False,1.0,down
AP000640.9,49.39069123044104,-0.49226067261948075,0.3045346107782297,-1.6164358834666521,0.10600010535866243,,64.86166541429375,-0.08386205252855605,0.5798162320431749,-0.1446355722623361,0.8849986099293312,0.982289846434717,True,False,0.9911053659600058,down
AP000689.8,27.45548696592283,-0.3570040996827951,0.37458931718962907,-0.9530546742796412,0.3405623696202684,,17.81193832883655,-1.633994053341719,0.5932172263119843,-2.754461571354252,0.0058788793370345635,0.15450244337249608,True,False,0.3930679882316748,down
AP001053.11,8.670755793986567,-0.47357322581877814,0.6599769777537023,-0.7175602207074434,0.4730284924941467,,26.856429825956642,-2.643976576573296,0.8478163834314333,-3.1185721675631273,0.0018172963100457572,0.07610144643115423,True,False,0.275864906124636,down
AP001056.1,7.946903267845969,-0.5050214877456486,0.6846115504963668,-0.7376759673123989,0.46071137957579966,,29.69853481402842,-0.20051448165099336,0.5520611583716609,-0.3632106309424547,0.7164475467900133,0.9607536575822067,True,False,0.9801804209339251,down
AP001057.1,79.02128710183878,-0.0390811011015063,0.23859487259402767,-0.16379690257637394,0.8698910301334026,0.9200804436545855,6.121593287625404,-0.6418378487096464,1.0348369116955924,-0.6202309189551304,0.5351057681892863,,True,False,0.9592082378996677,down
AP001062.7,32.756846773025316,-0.48781560822780684,0.35206045110587597,-1.3856018382510817,0.1658685166135434,,23.461299308389428,-0.5283442069676109,0.3751778276557502,-1.408250083084336,0.1590570308595004,0.6781258222584582,True,False,0.8234839538560895,down
AP001258.4,49.99498265581203,-0.07012864365181988,0.2909417295939413,-0.2410401689358771,0.8095239838690126,,13.689296939641881,-1.0290753177688645,0.5439704264495251,-1.8917854128313576,0.058519577629703494,0.47916309653222766,True,False,0.692216076476289,down
AP001340.2,4.436361216553605,-0.023211216575372087,0.9022751951309299,-0.025725207454033897,0.9794765178671516,,11.611862521384753,0.8523121529063513,0.5394523724578245,1.5799581138610839,0.11411645912086366,0.6130308629532715,False,False,0.7829628745689489,down
AP001372.2,109.22076305265092,0.1846144687792592,0.20908291596078518,0.8829725180123507,0.3772511201338177,0.525732322527168,24.710745926433873,0.2654146146906201,0.3273293975773685,0.8108486944802628,0.41745256662921715,0.8850718996747037,True,False,0.6821370136706515,up
AP001505.10,6.70763252358551,0.3211140839784568,0.754758066664738,0.42545300032029343,0.6705064766709541,,6.280077441535056,-0.18220716591536582,0.9257713330570504,-0.19681659974681603,0.8439710604731733,,False,False,1.0,up
AP001816.1,6.94331822572063,-0.12359492576379419,0.7336946745462547,-0.16845553068819819,0.8662249250391352,,15.067262675284208,-0.5375413879907445,0.6088926161635583,-0.8828180433154608,0.3773345901030769,0.8665425797440264,True,False,0.930882688497335,down
AP002954.4,3.9663894672473563,-0.1753857333113664,0.9744506938844691,-0.17998420485722402,0.8571649683974656,,44.207005969440296,-1.9441911302701653,0.4774137002625642,-4.072340465304859,4.6543078376416514e-05,0.0074495866837280015,True,False,0.0863109881980736,down
AP003068.23,13.547317926137692,-0.4081700807768064,0.560010119433059,-0.7288619734051023,0.4660860977212643,,10.430074356574615,-1.030060738410166,0.6286870118338288,-1.6384317140663724,0.10133166795985826,0.5919690133119975,True,False,0.7693952256883307,down
AP003419.11,88.97905506040145,-0.19107805405856593,0.23873738287310578,-0.800369224790104,0.42349690615722746,0.5702938585238884,90.49174926562652,0.48097936143572917,0.649208933101076,0.7408699063000186,0.4587723237546337,0.8926881966129983,False,False,0.7135086517381259,down
AP003774.6,37.25422556038956,-0.6143894039447931,0.332238264768895,-1.8492433566379312,0.06442268076098023,,3.7563629647641785,-0.7426984586569602,1.339433030057641,-0.5544871912147776,0.5792454692809087,,True,False,1.0,down
AP006222.1,34.706848904096425,0.33493602155420793,0.34207681641825627,0.9791251715365671,0.3275181356996115,,107.79250870407901,-0.38377135445653515,0.466746271816652,-0.8222269306251444,0.410947754239834,0.8839987351703443,False,False,0.9402120692537106,up
AP006621.5,19.585397322807093,-0.31058239234505725,0.45687586085763526,-0.6797960210943081,0.49663362641376085,,7.573457410934731,-0.9116874690403782,0.6516524798054708,-1.399039361152331,0.1618011799916731,,True,False,1.0,down
AP1AR,489.7826746512995,0.30495395184569685,0.12457344970060832,2.447985125069613,0.014365758626024204,0.059605898260962006,588.1417368584346,-0.1183725839581413,0.19526596081589956,-0.6062120784571624,0.5443739331882171,0.9189910907581659,False,False,0.2340454858749934,up
AP1B1,392.4781506365178,-0.397316697582536,0.14652182394877383,-2.7116554167483184,0.006694814830743809,0.03837011730741136,7769.361886903217,0.1651380137674769,0.33482712521480146,0.4932038097616374,0.6218685862435996,0.940706845851931,False,False,0.18998692593761163,down
AP1G1,4364.882488022635,0.13342970368567947,0.07681057395997158,1.7371267627190745,0.08236479840319212,0.18179629710034823,1887.1566448442063,0.04522425038052621,0.12814957541321784,0.35290206959095083,0.724161859225982,0.9622123640202644,True,False,0.418242327847214,up
AP1G2,172.46266053053208,-0.5136629837621118,0.19585970957290963,-2.622606685582256,0.008725994322681566,0.04467762250100578,687.731696175909,-0.39411602531771517,0.161266057172682,-2.4438870288476133,0.014529975555828734,0.2564923310157437,True,False,0.10704890256104643,down
AP1M1,304.485483287362,-0.3623432895465515,0.14434271297084786,-2.5102984562839143,0.012062915958429527,0.05404994689105601,624.1782781180067,-0.030104938335207405,0.12548864241398447,-0.239901697524879,0.8104064648485867,0.9714092863656117,True,False,0.22913886692907412,down
AP1S1,228.42403438467207,-0.385840298699385,0.15570763929728657,-2.4779792464948693,0.013212883043232653,0.05706980663518004,376.6073816413668,-0.021847978390986636,0.1858534417114867,-0.11755487651879366,0.9064203602707577,0.987160244353243,True,False,0.23735425899523407,down
AP1S2,7767.295310628248,0.3089340655418787,0.09336015110401984,3.309057042952631,0.0009361076269085662,0.014552218563760438,1491.6693882726345,-0.18946378749928813,0.37547551685111563,-0.5045969151016968,0.6138419770059389,0.9386957475869859,False,False,0.11687645478777288,up
AP1S3,702.2777179460236,0.22323111734099213,0.11588208808943348,1.9263642985852192,0.05405890198642113,0.13697588005969244,55.67461069603657,-0.19941902761975575,0.6345261161175891,-0.3142802519144851,0.7533081956113223,0.9636674725969946,False,False,0.3633169417242649,up
AP2A1,394.4032448529169,-0.23661815079885903,0.1370233464090155,-1.7268455120965476,0.0841954123001194,0.18469870572082978,1562.2379477778081,-0.12388707015829709,0.1328728354780629,-0.9323731951121842,0.3511436925161213,0.8519900495921446,True,False,0.3966881135687011,down
AP2A2,368.8459516822534,-0.12697087994941358,0.13303654384409536,-0.9544060322117954,0.3398781540092939,0.4900164512053828,2506.164034265632,0.2658145873376128,0.5367078506777451,0.49526867736692676,0.6204104779714434,0.9403819555456436,False,False,0.6788244461081631,down
AP2B1,4408.365609262918,-0.052923801411197666,0.0764137939477463,-0.6925948664110083,0.48856383286431193,0.6276119877595613,2348.1283613110204,0.04177323194112551,0.12212172217056734,0.34206225721891526,0.732304040408672,0.9626427392100363,False,False,0.7772812380714716,down
AP2M1,1887.9170654337513,-0.39960132462773906,0.10268364142346358,-3.891577266721559,9.959466147829146e-05,0.005388723621882228,13210.893373404688,0.22232770424722567,0.18191833339525992,1.222129183451604,0.22165877860664074,0.7584490053249328,False,False,0.06393021250541518,down
AP2S1,680.0115229311106,-0.21901363614624994,0.10147523784838508,-2.1582963567277353,0.030904797812373045,0.0955021445773422,1967.3902225664956,-0.17000797311825422,0.1450230053592975,-1.1722827884931495,0.24108353942863048,0.7749122107662062,True,False,0.2720400301193596,down
AP3B1,3180.1462189016534,0.1792738155009423,0.0794780952612577,2.2556380460759597,0.024093308464473894,0.08172160710558153,1838.0562894377622,-0.11945978251098827,0.1889286193528622,-0.6323011459045974,0.5271901149335119,0.9139393883674537,False,False,0.27329214334568885,up
