dataset,contrast,context_group,score,paired,n_case,n_control,case_mean,control_mean,delta_case_minus_control,p_value
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,2,2,-0.35814642236471833,-1.7553177364919472,1.3971713141272288,0.3333333333333333
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,module_a_signed_score_z,False,2,2,-0.40654264474823704,-1.78456897211505,1.378026327366813,0.3333333333333333
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,module_b_signed_score_z,False,2,2,-0.6115907009873487,-0.9246916018492218,0.31310090086187314,0.3333333333333333
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,module_c_signed_score_z,False,2,2,-0.10100169364215156,-1.253282228775707,1.1522805351335554,0.3333333333333333
GSE360,Macrophage_Brugia5_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,2,2,-0.6115907009873487,-0.9246916018492218,0.31310090086187314,0.3333333333333333
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,core_ev_signed_score_z,False,4,2,-0.9147040525201182,-1.6745390651583107,0.7598350126381925,0.4
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,down_arm_signed_score_z,False,4,2,-0.9010683284031717,-1.7553177364919472,0.8542494080887755,0.4
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,module_a_signed_score_z,False,4,2,-0.8552828182697456,-1.78456897211505,0.9292861538453043,0.4
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,module_b_signed_score_z,False,4,2,-0.6890347449186999,-0.9246916018492218,0.23565685693052196,0.3333333333333333
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,module_c_signed_score_z,False,4,2,-0.8650646271126866,-1.253282228775707,0.38821760166302044,0.7333333333333333
GSE360,Macrophage_BrugiaCombined_vs_Baseline,direct_exposure,up_arm_signed_score_z,False,4,2,-0.6890347449186999,-0.9246916018492218,0.23565685693052196,0.3333333333333333
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,core_ev_signed_score_z,True,6,6,-0.4180956487529681,0.41809564875296834,-0.8361912975059365,0.3125
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,down_arm_signed_score_z,True,6,6,-0.16571288920793378,0.16571288920793537,-0.3314257784158692,1.0
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,module_a_signed_score_z,True,6,6,-0.12827087504291182,0.1282708750429132,-0.256541750085825,1.0
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,module_b_signed_score_z,True,6,6,-0.3418430186949107,0.34184301869491107,-0.6836860373898217,0.3125
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,module_c_signed_score_z,True,6,6,-0.2625663876472831,0.2625663876472842,-0.5251327752945673,0.4375
GSE42694,LC_L3_vs_LC_Control,direct_larval_exposure,up_arm_signed_score_z,True,6,6,-0.3418430186949107,0.34184301869491107,-0.6836860373898217,0.3125
